Altacite Plus_Susp 125mg/500mg/5ml S/F,Co-Simalcite (Simeticone/Hydrotalcite),1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,19.97,"11,481.07",7.636,76.467,3.83,0.01,574.92
Alu-Cap_Cap 475mg,Aluminium Hydroxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,8.626,907.665,4.325,48.874,5.67,0.05,105.22
Alum Hydrox_Tab 500mg,Aluminium Hydroxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.004,0.78,0,0.276,69.08,0.35,195
Antacid/Oxetacaine_Oral Susp S/F,Aluminium & Magnesium & Oxetacaine,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,1,1.325,555.121,0,196.072,147.98,0.35,418.96
Asilone Antacid_Liq S/F,Aluminium & Magnesium & Act Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,0.004,1.2,0.001,0.023,5.66,0.02,300
Asilone Antacid_Tab 250mg,Aluminium & Magnesium & Act Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.005,0.344,0,0.029,5.73,0.08,68.8
Asilone Windcheaters_Cap 100mg,Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.002,0.324,0.002,0.021,10.53,0.07,162
Asilone_Susp S/F,Aluminium & Magnesium & Act Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,1.53,843,0.031,3.288,2.15,0,550.98
Boots_Wind Relief Tab Chble,Aluminium & Magnesium & Act Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.005,0.216,0,0.026,5.27,0.12,43.2
Dentinox_Infant Colic Dps,Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,6.726,828.17,2.355,14.331,2.13,0.02,123.13
Hydrotalcite_Oral Susp 500mg/5ml S/F,Hydrotalcite,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,1,0.131,76.005,0,0.424,3.24,0.01,580.19
Infacol_Susp 40mg/ml S/F,Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,63.255,"3,831.50",18.613,187.743,2.97,0.05,60.57
Maalox Plus_Susp S/F,Aluminium & Magnesium & Act Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,16.704,"9,509.26",0.371,67.252,4.03,0.01,569.28
Maalox Plus_Tab Chble,Aluminium & Magnesium & Act Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.001,0.014,0,0.001,1.02,0.07,14
Maalox_Susp 195mg/220mg/5ml S/F,Co-Magaldrox(Magnesium/Aluminium Hydrox),1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,61.446,"36,034.11",29.654,227.657,3.7,0.01,586.44
Mag Carb_Heavy Cap 500mg,Magnesium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.845,91.526,0,260.653,308.46,2.85,108.31
Mag Ox_Cap 100mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.638,94.964,0,249.033,390.33,2.62,148.85
Mag Ox_Cap 10mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.003,0.133,0,0.734,244.74,5.52,44.33
Mag Ox_Cap 160mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,2.52,332.693,0,841.651,333.99,2.53,132.02
Mag Ox_Cap 200mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.067,4.756,0,6.436,96.05,1.35,70.99
Mag Ox_Cap 250mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.017,1.392,0,1.159,68.2,0.83,81.88
Mag Ox_Cap 300mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.013,1.574,0,2.491,191.58,1.58,121.08
Mag Ox_Cap 400mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.084,7.425,0,13.092,155.85,1.76,88.39
Mag Ox_Cap 500mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.214,18.259,0,61.233,286.14,3.35,85.32
Mag Ox_Tab 400mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.133,13.645,0,13.46,101.2,0.99,102.59
Mag Ox_Tab 500mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,0.007,0.73,0,0.508,72.57,0.7,104.29
Mag Trisil Co_Tab,Magnesium Trisilicate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,1,3.052,286.473,0,56.168,18.4,0.2,93.86
Mag Trisil_Mix,Magnesium Trisilicate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,1,22.683,"9,826.10",0,54.85,2.42,0.01,433.19
Mag-Ox 400_Tab 400mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.025,2.606,0.007,2.001,80.02,0.77,104.24
Magstar_Cap 100mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.004,0.462,0,1.321,330.33,2.86,115.5
Magstar_Cap 160mg,Magnesium Oxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.083,9.765,0,28.384,341.97,2.91,117.65
Mucogel_Susp 195mg/220mg/5ml S/F,Co-Magaldrox(Magnesium/Aluminium Hydrox),1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,51.731,"28,091.05",17.247,96.081,1.86,0,543.02
Original Andrews Salts_Eff Pdr,Magnesium Sulphate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,6,3,0.021,3.51,0,0.041,1.93,0.01,167.14
Phillips Milk Of Magnesia_Liq (Mint),Magnesium Hydroxide,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,1.386,566.821,0.554,7.242,5.23,0.01,408.96
Remegel Wind Relief_Tab Chble 800/125mg,Calcium Carbonate & Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,0.054,2.67,0.032,0.28,5.19,0.11,49.44
Sodium Citrate 0.3M_Oral Soln,Sodium Citrate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,3,3,0.034,44.04,0.014,8.508,250.23,0.19,"1,295.29"
Wind-Eze_Gelcap 125mg,Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,1.956,111.102,1.635,15.055,7.7,0.14,56.8
Wind-Eze_Tab Chble 125mg,Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,1.694,116.498,1.406,10.524,6.21,0.09,68.77
WindSetlers_Cap 100mg,Simeticone,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,0,Antacids and Simeticone,1,3,1.674,102.234,1.554,12.001,7.17,0.12,61.07
Boots_Gripe Mix S/F,Gripe Mixtures,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,3,0.002,0.7,0,0.12,59.9,0.17,350
Nurse Harveys_Gripe Mix,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,3,1.804,338.202,0.002,3.244,1.8,0.01,187.47
Sod Bicarb_(S),Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,6,1,0.781,434.391,0,2.005,2.57,0,556.2
Sod Bicarb_Liq Spec 1g/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.013,0.65,0,1.334,102.63,2.05,50
Sod Bicarb_Liq Spec 2.1g/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.002,0.6,0,0.468,234.2,0.78,300
Sod Bicarb_Liq Spec 210mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.002,1,0,0.426,212.9,0.43,500
Sod Bicarb_Liq Spec 292mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.006,3.58,0,1.86,310.02,0.52,596.67
Sod Bicarb_Liq Spec 333mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.019,1.25,0,2.131,112.14,1.7,65.79
Sod Bicarb_Liq Spec 336mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.009,3.9,0,2.346,260.64,0.6,433.33
Sod Bicarb_Liq Spec 420mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,1.652,886.051,0,319.919,193.66,0.36,536.35
Sod Bicarb_Liq Spec 500mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.004,1.25,0,0.666,166.56,0.53,312.5
Sod Bicarb_Liq Spec 50mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.05,29.245,0,13.077,261.54,0.45,584.9
Sod Bicarb_Liq Spec 52.5mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.006,0.9,0,0.548,91.31,0.61,150
Sod Bicarb_Liq Spec 70mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.006,2.8,0,0.744,123.98,0.27,466.67
Sod Bicarb_Oral Soln 420mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,4.358,"2,189.28",0,"1,095.18",251.3,0.5,502.36
Sod Bicarb_Paed Mix 50mg/5ml BPC,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,1,0.09,30.35,0,17.214,191.26,0.57,337.22
Sod Bicarb_Pdrs 4.2g,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,1,1,0.013,0.416,0,2.713,208.67,6.52,32
SodiBic_Oral Soln 420mg/5ml,Sodium Bicarbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,3,1.89,899.743,0,147.578,78.08,0.16,476.05
Woodward's_Gripe Water S/F Alcohol Free,Gripe Mixtures,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,1,2,Sodium Bicarbonate,3,3,0.121,48.525,0.002,0.533,4.41,0.01,401.03
Acidex_Liq (Aniseed),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,20.375,"10,634.27",11.39,53.171,2.61,0,521.93
Acidex_Liq (Peppermint),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,14.334,"7,877.14",2.005,39.386,2.75,0.01,549.54
Algicon_Susp (Mint),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,0.001,0.3,0.001,0.002,2.02,0.01,300
Asilone Heartburn_Liq S/F,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,0.003,1.2,0.001,0.011,3.82,0.01,400
Bisodol Ex Strong Mint_Tab Chble,Compound Alginates&Prop Indigestion Prep,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,0.001,0.03,0,0.001,1.25,0.04,30
Bisodol Indigest Relief_Tab,Compound Alginates&Prop Indigestion Prep,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,0.05,2.436,0,0.071,1.42,0.03,48.72
Boots_Indigest Relief Tab (Peppermint),Compound Alginates&Prop Indigestion Prep,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,0.001,0.056,0,0.002,2.22,0.04,56
Boots_Indigest Tab (Orig),Compound Alginates&Prop Indigestion Prep,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,0.002,0.08,0,0.005,2.39,0.06,40
Calc Carb_Cap 300mg,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,1,0.004,0.318,0,1.052,262.89,3.31,79.5
Calc Carb_Cap 500mg,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,1,0.019,1.19,0,6.837,359.84,5.75,62.63
Calc Carb_Disper Tab 250mg,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,1,0.441,75.143,0,63.385,143.73,0.84,170.39
Calc Carb_Liq Spec 120mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.137,80.962,0,33.653,245.64,0.42,590.96
Calc Carb_Liq Spec 125mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.001,0.3,0,0.166,166.03,0.55,300
Calc Carb_Liq Spec 250mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.056,27.11,0,17.261,308.23,0.64,484.11
Calc Carb_Liq Spec 360mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.005,2.6,0,1.054,210.74,0.41,520
Calc Carb_Liq Spec 500mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.352,156.49,0,90.737,257.78,0.58,444.57
Calc Carb_Liq Spec 5mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.001,0.5,0,0.215,214.72,0.43,500
Calc Carb_Liq Spec 600mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.686,342.22,0,148.811,216.93,0.43,498.86
Calc Carb_Liq Spec 60mg/5ml,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,1,0.002,0.92,0,0.452,226.23,0.49,460
Calc Carb_Tab 300mg,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,1,0.087,17.188,0,14.664,168.56,0.85,197.56
Calconate_Disper Tab 250mg,Calcium Carbonate,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,0.371,18.044,0,56.839,153.2,3.15,48.64
Eno_Eff Pdr,Compound Alginates&Prop Indigestion Prep,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,6,3,0.001,0.45,0,0.007,6.63,0.01,450
Entrocalm_Heartburn&Indigest Relief Liq,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,0.005,1.4,0.004,0.021,4.26,0.02,280
Gastrocote_Liq S/F,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,30.455,"17,626.00",0.014,94.123,3.09,0.01,578.76
Gastrocote_Tab,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,57.148,"6,001.00",0.028,210.649,3.69,0.04,105.01
Gaviscon Advance_Liq (Aniseed) S/F,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,"1,840.06","943,491.29",422.612,"10,269.80",5.58,0.01,512.75
Gaviscon Advance_Liq (Peppermint) S/F,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,665.78,"342,061.29",0.967,"4,290.77",6.44,0.01,513.78
Gaviscon Advance_Tab Chble 500mg Mint,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,375.087,"28,302.54",59.511,"1,312.36",3.5,0.05,75.46
Gaviscon Cool_Liq (Peppermint) S/F,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,18.835,"6,522.05",1.24,91.11,4.84,0.01,346.27
Gaviscon Cool_Tab Chble 250mg (P/Mint),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,13.43,747.852,0,69.162,5.15,0.09,55.69
Gaviscon Double Action_Liq (Aniseed),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,5.603,"2,169.05",0,31.021,5.54,0.01,387.12
Gaviscon Double Action_Liq (Peppermint),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,3,3,15.161,"6,679.51",0,106.806,7.04,0.02,440.57
Gaviscon Double Action_Tab Chble,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,16.507,971.545,0,109.973,6.66,0.11,58.86
Gaviscon Ex Strgh_Tab Chble 500mg (Lem),Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,0.48,26.508,0,4.705,9.8,0.18,55.23
Gaviscon Ex Strgh_Tab Chble 500mg(P/Mint,Alginic Acid Compound Preparations,1,1,Dyspep&Gastro-Oesophageal Reflux Disease,2,1,Compound Alginates&Prop Indigestion Prep,1,3,1.805,96.007,0,16.202,8.98,0.17,53.19
